epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,48045.4,0.03603,0.55081,0.04305,0.70175,0.58664,0.51972,0.51946,0.00566,0.41527,0.01627,0.003664,0.003664,0.003664
66,48775.4,0.03506,0.54957,0.04186,0.69885,0.58513,0.51484,0.51459,0.00577,0.41749,0.0165,0.003565,0.003565,0.003565
67,49543.1,0.03315,0.55719,0.04093,0.68865,0.58597,0.51351,0.51327,0.00573,0.42085,0.01666,0.003466,0.003466,0.003466
68,50313.9,0.02792,0.54895,0.03495,0.69604,0.58614,0.51995,0.5197,0.00608,0.42357,0.01758,0.003367,0.003367,0.003367
69,51081.6,0.02752,0.55775,0.03472,0.68635,0.5866,0.5192,0.51896,0.00615,0.42291,0.01783,0.003268,0.003268,0.003268
70,51853.5,0.02894,0.55056,0.03488,0.69435,0.58836,0.51873,0.5185,0.00614,0.41778,0.01789,0.003169,0.003169,0.003169
71,52619.3,0.02626,0.54359,0.03282,0.70199,0.58618,0.51745,0.51721,0.00622,0.41617,0.0182,0.00307,0.00307,0.00307
72,53368,0.02458,0.5442,0.03149,0.69866,0.58952,0.52063,0.52038,0.00615,0.41423,0.01774,0.002971,0.002971,0.002971
73,54009.5,0.02527,0.52969,0.03194,0.69343,0.59417,0.52094,0.52067,0.00674,0.41427,0.0189,0.002872,0.002872,0.002872
74,54730.8,0.02128,0.52208,0.02665,0.70348,0.59004,0.52386,0.5236,0.00803,0.41447,0.02108,0.002773,0.002773,0.002773
75,55494.1,0.01975,0.5344,0.02529,0.70086,0.59261,0.5215,0.52122,0.00902,0.41499,0.02254,0.002674,0.002674,0.002674
76,56258.3,0.02312,0.53199,0.02965,0.69971,0.59341,0.5236,0.52334,0.01033,0.41554,0.02419,0.002575,0.002575,0.002575
77,57025.7,0.02009,0.535,0.02535,0.70528,0.59389,0.52146,0.52119,0.01112,0.41608,0.02522,0.002476,0.002476,0.002476
78,57789.8,0.01814,0.51596,0.02274,0.70752,0.59527,0.52469,0.52441,0.01073,0.41476,0.02454,0.002377,0.002377,0.002377
79,58559.7,0.01991,0.52426,0.02566,0.70666,0.5966,0.5253,0.525,0.00879,0.41318,0.02185,0.002278,0.002278,0.002278
80,59270.8,0.01819,0.51911,0.02316,0.70617,0.5976,0.52536,0.52507,0.00862,0.41287,0.0212,0.002179,0.002179,0.002179
81,59925.6,0.0156,0.49889,0.02009,0.70839,0.59955,0.52612,0.52581,0.00888,0.41218,0.02135,0.00208,0.00208,0.00208
82,60666.6,0.01468,0.51373,0.01915,0.70773,0.59994,0.52578,0.52546,0.00872,0.4118,0.02093,0.001981,0.001981,0.001981
83,61434.8,0.01738,0.50252,0.02252,0.7085,0.60017,0.52657,0.52626,0.00788,0.4107,0.01971,0.001882,0.001882,0.001882
84,62203.3,0.0199,0.50798,0.02572,0.70458,0.59951,0.52538,0.52508,0.00691,0.4105,0.01814,0.001783,0.001783,0.001783
85,62969.5,0.02094,0.49212,0.02799,0.70446,0.60068,0.52599,0.52569,0.0061,0.40992,0.01682,0.001684,0.001684,0.001684
86,63734.9,0.01729,0.4856,0.02283,0.69336,0.6002,0.5232,0.52294,0.00613,0.41112,0.01703,0.001585,0.001585,0.001585
