epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
82,6491.91,0.00518,0.40103,0.00761,0.70706,0.67062,0.59604,0.58993,0.00298,0.38943,0.01035,0.000220089,0.000220089,0.000220089
83,6565.2,0.00611,0.39395,0.0104,0.74965,0.71898,0.6445,0.64169,0.00098,0.35114,0.00281,0.00020909,0.00020909,0.00020909
84,6640.39,0.00526,0.35776,0.00739,0.69942,0.67309,0.60128,0.59774,0.00069,0.37766,0.00183,0.000198091,0.000198091,0.000198091
85,6714.87,0.00527,0.41276,0.00742,0.73702,0.69186,0.61022,0.60562,0.00221,0.35646,0.00763,0.000187092,0.000187092,0.000187092
86,6789.5,0.00547,0.38604,0.00777,0.73959,0.64308,0.57973,0.57488,0.00232,0.38974,0.00788,0.000176094,0.000176094,0.000176094
87,6863.85,0.00592,0.34017,0.00953,0.70705,0.67177,0.601,0.59336,0.00214,0.36785,0.00733,0.000165095,0.000165095,0.000165095
88,6938.96,0.00483,0.35587,0.00687,0.72376,0.70266,0.62109,0.61639,0.00168,0.36921,0.00566,0.000154096,0.000154096,0.000154096
89,7013.66,0.00529,0.35069,0.00781,0.69364,0.64506,0.58021,0.57491,0.00135,0.40737,0.00435,0.000143097,0.000143097,0.000143097
90,7106.23,0.00473,0.34068,0.007,0.76477,0.70244,0.63306,0.62947,0.00187,0.37253,0.00644,0.000132098,0.000132098,0.000132098
91,7182.76,0.00315,0.26531,0.00737,0.78548,0.67195,0.61794,0.6142,0.00067,0.3783,0.00169,0.000121099,0.000121099,0.000121099
92,7257.58,0.00214,0.24229,0.00418,0.74635,0.7225,0.65459,0.64966,0.00032,0.39935,0.0008,0.0001101,0.0001101,0.0001101
93,7333.1,0.00192,0.23044,0.00368,0.67769,0.67344,0.59127,0.58392,0.00032,0.42947,0.00082,9.91012e-05,9.91012e-05,9.91012e-05
94,7407.21,0.0019,0.21625,0.00361,0.68773,0.66593,0.59487,0.58742,0.00026,0.46444,0.00064,8.81023e-05,8.81023e-05,8.81023e-05
95,7481.33,0.00231,0.22105,0.00525,0.74668,0.68098,0.61089,0.6057,0.00029,0.44284,0.00073,7.71034e-05,7.71034e-05,7.71034e-05
96,7556.74,0.00184,0.2029,0.0035,0.77918,0.63808,0.62136,0.61361,0.00024,0.42388,0.00061,6.61045e-05,6.61045e-05,6.61045e-05
97,7631.66,0.00173,0.2205,0.00333,0.70276,0.67551,0.61818,0.60945,0.00027,0.42835,0.00065,5.51056e-05,5.51056e-05,5.51056e-05
98,7728.02,0.00163,0.20308,0.00308,0.72805,0.71141,0.63492,0.62854,0.00022,0.41698,0.00056,4.41067e-05,4.41067e-05,4.41067e-05
99,7802.52,0.00162,0.17949,0.00301,0.72808,0.7086,0.64845,0.64195,0.00013,0.41134,0.00034,3.31078e-05,3.31078e-05,3.31078e-05
100,7876.87,0.00162,0.16867,0.00299,0.70846,0.70216,0.6298,0.6245,0.00016,0.42851,0.0004,2.21089e-05,2.21089e-05,2.21089e-05
